YEAR,MONTH,MIN,MAX,HUMIDITY,RAINFALL,DENGUE
2010,1,11.34116071,24.54921659,78.66175115,0.000921659,0.0
2009,12,13.73258929,26.41024668,79.2764977,0.000921659,0.0
2014,12,14.105,25.98036866,82.17695853,0.001843318,11.0
2008,12,15.92123162,26.38986175,83.57050691,0.001843318,0.0
2014,1,12.12784926,24.82940092,79.98156682,0.003686636,15.0
2009,1,13.41866071,26.1962212,79.56313364,0.004608295,0.0
2011,12,14.305625,25.54847926,81.91555977,0.005529954,9.0
2013,11,17.54193548,30.07047619,77.6952381,0.00952381,218.0
2013,12,14.31672794,26.49852535,79.82764977,0.012903226,53.0
2017,1,12.52008929,26.67105991,75.38156682,0.012903226,92.0
2013,1,10.59794643,24.75705069,76.19262673,0.015668203,6.0
2016,12,15.45232143,27.73308756,80.92442396,0.025806452,145.0
2011,11,17.9237788,29.89628571,78.78285714,0.03047619,36.0
2011,1,10.98973214,24.17133641,77.13732719,0.04516129,0.0
2014,11,18.13917051,30.44695238,78.46571429,0.047619048,22.0
2012,12,13.27352941,24.69174573,83.15370019,0.070967742,0.0
2009,2,15.09026369,29.64989796,70.27755102,0.091836735,0.0
2012,2,14.02771429,28.99990148,67.78226601,0.096551724,0.0
2008,11,18.12700461,29.91931373,78.74761905,0.114285714,0.0
2011,2,14.8270936,28.83010204,70.63877551,0.115306122,0.0
2017,2,15.40206897,29.66734694,71.10306122,0.191836735,58.0
2016,1,12.37,25.19917051,79.86820276,0.223963134,13.0
2015,12,15.02508929,26.06082949,80.35023041,0.243317972,75.0
2010,2,14.6453202,29.09346939,69.7622449,0.263265306,0.0
2013,2,14.73762677,29.17918367,69.65714286,0.270408163,7.0
2013,3,19.54926471,32.97640553,69.94193548,0.29124424,3.0
2015,11,18.94903226,30.3207619,80.0552381,0.313333333,271.0
2015,1,13.22095588,25.3272296,79.61480076,0.341935484,0.0
2017,11,19.08101382,30.25704762,79.24761905,0.379047619,409.0
2012,1,12.77383929,24.64373814,77.35852535,0.415668203,0.0
2010,11,19.83603687,30.47085714,80.13238095,0.485714286,1.0
2009,3,19.58115809,32.60894009,70.32165899,0.51797235,0.0
2009,11,19.03235294,30.1795098,78.3647619,0.536190476,0.0
2014,3,18.60284926,32.05880184,68.09308756,0.582488479,2.0
2015,2,15.10456389,28.66302521,74.79621849,0.607142857,0.0
2010,3,21.25794643,33.55115207,70.23686636,0.665437788,0.0
2008,2,13.65828571,26.38344828,72.60295567,0.687684729,0.0
2008,2,13.65828571,26.38344828,72.60295567,0.687684729,0.0
2015,3,18.60419643,32.29778802,67.5483871,0.705069124,2.0
2012,3,19.93303571,32.49797235,70.77880184,0.771428571,0.0
2009,12,18.888888,,78.888888,0.888888,
2014,4,23.28857143,35.76933333,69.26761905,0.896190476,0.0
2014,2,14.18275862,27.2794898,74.07755102,0.914285714,7.0
2008,3,20.41125,31.3675576,76.90322581,0.974193548,0.0
2008,4,22.7718894,34.03161905,73.94380952,0.980952381,0.0
2010,12,14.07357143,26.39465438,78.19631336,1.024884793,0.0
2011,3,19.17482143,31.87640553,70.27834101,1.192626728,0.0
2008,1,12.99392857,25.05953917,78.82488479,1.286635945,0.0
2008,1,12.99392857,25.05953917,78.82488479,1.286635945,0.0
2016,2,17.4592381,29.57418719,76.97241379,1.413793103,3.0
2012,11,18.19465438,29.1504902,79.2152381,1.561904762,27.0
2016,3,20.83892857,32.87428571,73.68940092,1.576036866,17.0
2017,12,15.77607143,27.08102467,82.70414747,1.595825427,126.0
2013,4,22.7827957,33.90232323,73.16363636,1.98,3.0
2010,4,24.83474654,34.34885714,76.37619048,2.279047619,0.0
2014,10,23.068125,32.3898482,81.78709677,2.50875576,63.0
2009,4,23.82476281,34.40704762,75.20571429,2.528571429,0.0
2016,4,24.87714286,34.328,76.59047619,2.713333333,38.0
2016,11,18.76368664,29.75666667,80.58761905,2.877142857,522.0
2011,10,23.68303571,32.78626728,81.85806452,2.904147465,114.0
2011,4,22.05926267,33.1307619,75.64761905,2.993333333,0.0
2017,3,18.989375,30.35235023,75.28202765,3.906912442,36.0
2015,10,23.33491071,32.33483871,82.62949309,4.239631336,869.0
2018,1,11.00825206,23.52267567,88.38407102,4.451612903,26.0
2012,5,24.71169643,34.57714286,77.57695853,4.874654378,0.0
2009,10,22.87955357,32.10672811,82.44331797,5.32718894,154.0
2015,5,24.62080357,34.07170507,78.93917051,5.614746544,10.0
2016,10,24.04321429,32.66543779,83.24608295,5.715207373,1077.0
2015,4,22.219447,32.58657143,77.82857143,5.79047619,6.0
2012,4,22.53271889,33.19504762,76.77047619,6.225714286,0.0
2012,10,22.80098214,32.00221198,82.77880184,6.281105991,107.0
2018,11,17.92813953,29.997776,77.34087308,6.5,1192.0
2014,5,24.98392857,34.83953917,76.4359447,6.506912442,8.0
2008,5,23.945625,34.17105991,77.36036866,7.021198157,0.0
2017,5,24.68669643,34.23013825,78.48940092,7.239631336,134.0
2008,10,22.945,31.54626728,83.88202765,7.332718894,184.0
2010,9,25.29447005,32.40504762,85.84380952,7.865714286,120.0
2013,10,23.49016544,31.13880184,85.76682028,7.998156682,501.0
2009,6,25.49051233,33.83568627,81.62952381,8.685714286,0.0
2011,5,23.8125,33.16092166,80.97788018,8.815668203,0.0
2009,5,24.18929924,33.82110599,78.28387097,8.922580645,1.0
2016,9,25.44248848,32.84733333,85.2952381,9.100952381,1544.0
2009,9,25.28301708,32.64342857,85.2247619,9.107619048,188.0
2008,9,25.07539171,32.36742857,85.1552381,9.107619048,334.0
2017,4,22.92599078,32.51904762,78.76095238,9.127619048,73.0
2010,10,24.03258929,32.32571429,83.84516129,9.2,45.0
2010,5,24.63535714,33.721537,79.58064516,9.429493088,0.0
2012,9,25.41917051,32.44028571,85.92761905,9.436190476,246.0
2017,10,23.93580357,31.70211982,84.71059908,9.489400922,512.0
2013,9,25.25520737,32.55676471,85.57428571,9.651428571,385.0
2010,8,25.77526786,32.8037788,84.88940092,10.08479263,183.0
2016,6,25.46304147,33.22561905,82.17142857,10.45142857,254.0
2010,7,25.838125,32.49271889,84.87834101,10.53179724,61.0
2016,5,24.0475,33.579447,79.41013825,10.87281106,70.0
2018,2,16.05290698,28.72025963,79.56395349,10.96428571,7.0
2014,9,25.10912442,32.41514286,84.93714286,11.1952381,76.0
2012,8,25.56089286,32.35721063,85.66267281,11.58801843,122.0
2014,7,25.83517857,32.58516129,84.74101382,11.64516129,82.0
2016,8,25.635625,32.68073733,84.23133641,12.00092166,1451.0
2013,7,25.62991071,32.3081106,84.90230415,12.13640553,172.0
2017,9,25.51603687,32.77180952,86.3352381,12.50666667,430.0
2015,9,25.30516129,32.842,84.79047619,12.55047619,965.0
2011,9,25.200553,31.98857143,86.18,12.84857143,193.0
2013,8,25.35018382,31.90151803,86.59907834,12.8562212,339.0
2013,6,25.70294931,33.20794118,83.42190476,13.28380952,50.0
2008,8,25.27821429,31.65797235,86.81013825,13.90875576,473.0
2008,6,24.959447,31.76411765,85.68285714,14.01619048,0.0
2014,8,25.46732143,31.96682028,86.99078341,14.36313364,80.0
2015,8,25.64107143,32.15723502,86.49400922,14.61658986,765.0
2011,7,25.44160714,32.06986175,85.2202765,15.08387097,255.0
2017,8,25.73982143,32.55640553,85.80829493,16.01105991,346.0
2018,12,13.58079166,26.10402191,79.0038995,16.22580645,293.0
2011,6,25.23806452,32.37914286,85.43142857,16.27714286,61.0
2013,5,23.84705357,31.71345622,83.8516129,16.4921659,12.0
2017,6,25.27922201,32.95485714,84.06952381,16.60857143,267.0
2012,6,25.59751152,33.01809524,84.18380952,16.79047619,10.0
2012,7,25.508125,31.82368664,87.14285714,17.28202765,129.0
2009,8,25.41424632,31.98548387,87.54470046,17.29400922,125.0
2016,7,25.44455357,31.75041475,87.25069124,17.99354839,926.0
2010,6,25.29907834,32.50466667,86.23809524,18.63714286,0.0
2014,6,25.45797235,32.93057143,84.90380952,19.00857143,9.0
2015,6,25.44516129,32.56295238,84.28761905,19.23809524,28.0
2009,7,25.46231618,31.91470588,86.42857143,19.6764977,4.0
2011,8,25.24892857,31.3324424,87.47096774,21.23410138,691.0
2008,7,25.06955357,31.13317972,88.05714286,22.56589862,160.0
2017,7,25.46526786,31.64092166,87.45069124,23.26728111,286.0
2015,7,25.14955357,31.49290323,87.64239631,26.84516129,171.0
2018,3,20.41477869,32.39107277,74.15011511,28.58064516,19.0
2018,10,22.64686646,31.37842961,80.26309077,181.2258065,2406.0
2018,4,22.38596365,32.54735659,74.20029404,248.9333333,29.0
2018,9,26.0527907,33.24901809,81.18692863,263.1666667,3087.0
2018,8,26.48582146,32.99842226,82.82406809,355.2258065,1796.0
2018,5,23.84955239,32.01730433,78.58092737,429.6774194,52.0
2018,6,25.91903826,28.0627907,82.31617809,653.1666667,295.0
2018,7,26.36736684,32.1605964,84.50940235,689.1612903,946.0
